Disease Name,Disease Category,Key Symptoms,Nutritional Considerations,Foods to Emphasize,Foods to Limit/Avoid
Irritable Bowel Syndrome (IBS),Digestive Disorder,"Abdominal pain, bloating, gas, diarrhea, and/or constipation","Identifying and avoiding trigger foods, managing fiber intake, potentially a low-FODMAP diet","Easily digestible foods, soluble fiber (oats, psyllium), lean proteins, probiotics (if tolerated)","High-FODMAP
foods (certain fruits, vegetables, grains, dairy), processed foods, caffeine, alcohol, artificial sweeteners, fatty foods (individual triggers vary)"
Crohn's Disease,Inflammatory Bowel Disease,"Abdominal pain, diarrhea, weight loss, fatigue, malnutrition","Managing inflammation, replacing nutrient losses, maintaining adequate calorie and protein intake","Easily digestible foods, low-fiber options during flares, small frequent meals, liquid nutritional supplements (if needed)","High-fiber foods, fatty/fried foods, dairy (if intolerant), spicy foods, caffeine, alcohol (individual tolerances
vary)"
Ulcerative Colitis,Inflammatory Bowel Disease,"Diarrhea (often with blood), abdominal pain, urgency, weight loss, anemia","Managing inflammation, replacing nutrient losses, maintaining adequate calorie and protein intake","Easily digestible foods, low-fiber options during flares, small frequent meals, liquid nutritional supplements (if needed)","High-fiber foods, fatty/fried foods, dairy (if intolerant), spicy foods, caffeine, alcohol (individual tolerances
vary)"
Chronic Kidney Disease (CKD),Renal,"Fatigue, swelling, changes in urination, nausea, loss of appetite","Managing electrolyte balance (sodium, potassium, phosphorus),limiting protein (in later stages), fluid management","Low-sodium foods, controlled potassium and phosphorus foods,adequate calorie intake with healthy fats and limited protein (as advised)","High-sodium foods,
high-potassium foods (e.g., bananas,
tomatoes), high-phosphoru s foods (e.g., dairy, beans, nuts), excessive protein (especially in later stages), processed
foods"
Heart Failure,Cardiovascular,"Shortness of breath, fatigue, swelling in legs and ankles, rapid heartbeat","Sodium restriction, fluid management, adequate potassium intake (if not on certain medications)","Fresh fruits and vegetables (with attention to potassium levels), whole grains, lean proteins,
low-sodium
options","High-sodium foods, excessive fluids, saturated and trans fats, processed foods"
Gout,Metabolic,"Sudden, severe pain in joints (often the big toe), redness, swelling","Managing uric acid levels through diet, maintaining a healthy weight, limiting alcohol","Cherries, low-fat dairy, complex
carbohydrates, plenty of water","High-purine foods (red meat, organ meats, some seafood), fructose-sweet ened drinks, excessive alcohol (especially
beer)"
Hypothyroidis m,Endocrine,"Fatigue, weight gain, feeling cold, dry skin, hair loss","Ensuring adequate iodine intake, addressing potential nutrient deficiencies (e.g., selenium, iron)","Iodized salt, seafood, eggs, foods rich in selenium (Brazil nuts, tuna, sardines), foods rich in iron (red meat, spinach, lentils)","Excessive intake of goitrogenic foods (cruciferous vegetables like broccoli, cabbage, kale) in raw form, highly processed foods"
Hyperthyroidi sm,Endocrine,"Weight loss, rapid heartbeat, anxiety, sweating, increased appetite","Managing iodine intake, avoiding excessive iodine,  ensuring adequate calorie intake to compensate for increased
metabolism","Foods low in iodine, adequate calories,nutrients to support increased metabolism","High-iodine foods (iodized salt, seaweed, seafood),excessive caffeine"
Osteoarthritis,Musculoskeleta l,"Joint pain, stiffness, reduced range of motion","Maintaining a healthy weight, anti-inflammato ry diet may be beneficial","Fruits, vegetables, whole grains, healthy fats (omega-3s  from fatty fish, flaxseeds), lean proteins","Processed foods, excessive saturated and trans fats, sugary drinks (to help maintain healthy weight)"
Rheumatoid Arthritis,Autoimmune,"Joint pain, swelling, stiffness, fatigue",Anti-inflammato ry diet may help manage symptoms,"Fruits, vegetables, whole grains, healthy fats (omega-3s  from fatty fish, flaxseeds), lean proteins, foods rich in antioxidants","Processed foods, excessive saturated and trans fats, sugary drinks (potential inflammatory effects - individual triggers may vary)"
 Diabetes, Metabolic Disorder," Increased thirst, frequent urination","Focus on blood sugar control, weight management, adequate fiber intake"," Whole grains,
non-starchy vegetables, lean proteins, healthy fats"," Sugary drinks, processed foods, refined carbohydrates, excessive saturated and trans fats"
 Hypertension,Cardiovascular," Increased thirst, frequent urination","Sodium restriction, potassium intake, maintaining a healthy weight"," Fruits, vegetables, low-sodium options, lean proteins, whole grains, low-fat dairy","
High-sodium foods, processed foods, foods high in saturated and trans fats, excessive alcohol"
 Anemia,Hematologic," Increased thirst, frequent urination","Increase iron intake, ensure adequate vitamin B12 and folate"," Red meat, leafy green vegetables, beans, lentils, fortified cereals"," Foods that may inhibit iron absorption (e.g., excessive tea, coffee, calcium-rich foods consumed with iron-rich meals)"
